#Name Ra Dec Flux[V] maj_ax min_ax
IC2 2.7534291744500003 -12.82258733004 -- 0.59 0.201
IC3 3.02540252076 -0.41520175638000006 -- 0.62 0.434
IC4 3.362295833333333 17.486427777777777 -- 0.867 0.52
IC5 4.3955590604 -9.54332501084 -- 0.55 0.396
IC6 4.729284245160001 -3.27604965899 -- 0.643 0.592
IC7 4.72155708272 10.594694357659998 -- 0.667 0.453
IC8 4.76125516693 -3.2219834917499997 -- 0.42 0.26
IC9 4.93324286827 -14.1219024607 -- 0.457 0.329
IC10 5.106249999999999 59.288055555555545 9.5 8.0 7.0
IC11 5.0 56.6 -- -- --
IC12 5.062716666666665 -2.653113888888889 -- 0.767 0.245
IC13 5.083787527770001 7.7006617042800025 -- 0.653 0.196
IC15 6.98995623146 -0.06127357719999999 -- 0.267 0.256
IC16 7.03193287003 -13.09391278776 -- 0.403 0.25
IC17 7.124114813009999 2.6485924482799996 -- 0.447 0.402
IC18 7.145629166666666 -11.58675 -- 0.617 0.222
IC19 7.164559552900001 -11.64073263045 -- 0.447 0.313
IC20 7.16535409159 -13.01020939954 -- 0.55 0.517
IC21 7.293454432119999 -0.16378362171000002 -- 0.327 0.274
IC22 7.388224522290001 -9.08072612936 -- 0.557 0.301
IC23 7.711717162840002 -12.72013349215 -- 0.463 0.389
IC25 7.800407 -0.407332 -- 0.497 0.288
IC26 7.94143848832 -13.33738453631 -- 0.4 0.392
IC28 8.286650000000002 -13.45619444444444 -- 0.297 0.22
IC29 8.544928008009999 -2.17756021058 -- 0.527 0.453
IC30 8.56122439042 -2.0845845066999997 -- 0.49 0.353
IC31 8.602566666666668 12.26851388888889 -- 0.977 0.234
IC32 8.75698722419 -2.14165676759 -- 0.45 0.306
IC33 8.771456960830001 -2.13775215404 -- 0.5 0.39
IC34 8.90174048654 9.124231592869998 -- 1.25 0.55
IC35 9.416181935410002 10.357912388320003 -- 0.577 0.45
IC37 9.642434710379998 -15.358719810719998 -- 0.377 0.218
IC38 9.661640342729997 -15.419828401479998 -- 0.52 0.291
IC39 9.784762794719999 -14.17277256584 -- 0.87 0.452
IC40 9.83927119763 2.45621083509 -- 0.717 0.33
IC41 9.918208333333332 -14.174302777777779 -- 0.387 0.224
IC42 10.27427432164 -15.428071300079997 -- 0.45 0.324
IC43 10.591937499999998 29.64161388888889 -- 0.7 0.644
IC44 10.566155117060001 0.84548535333 -- 0.67 0.482
IC45 10.59331433172 29.6985056286 -- 0.897 0.179
IC46 10.741634742 27.25367017174 -- 0.403 0.315
IC48 10.893555074339998 -8.18652114055 -- 0.68 0.626
IC49 10.984024999999997 1.8503083333333332 -- 0.393 0.291
IC50 11.52377653011 -9.50300681614 -- 0.567 0.487
IC51 11.600895833333333 -13.442397222222223 -- 0.61 0.586
IC52 12.099016666666667 4.091869444444445 -- 0.427 0.222
IC53 12.66987441755 10.600268354919999 -- 0.647 0.491
IC55 12.92659364217 7.71857050342 -- 0.653 0.34
IC56 12.874716017809998 -12.84436835397 -- 0.327 0.281
IC57 13.70214571338 11.841193901260002 -- 0.41 0.303
IC58 13.7600421863 -13.67817281287 -- 0.463 0.324
IC59 14.426666666666666 61.08327777777778 -- -- --
IC60 14.017617938259999 -13.35794672198 -- 0.55 0.429
IC61 14.279923143189999 7.5070859673 -- 0.51 0.439
IC62 14.68307040371 11.80803929562 -- 0.613 0.368
IC63 14.755708333333333 60.88827777777777 -- -- --
IC64 14.851750416666668 27.059057222222226 -- 0.573 0.413
IC65 15.230966666666658 47.68198333333332 -- 1.453 0.552
IC66 15.13526472267 30.79717676795 -- 0.627 0.288
IC68 15.090191666666666 -6.944115 -- -- --
IC69 15.348553064020004 31.04075079636 -- 0.597 0.537
IC70 15.2664630643 0.050702023469999996 -- 0.253 0.182
IC71 15.324999999999998 -6.816666666666666 -- 0.63 0.501
IC72 15.394851 -6.777830999999999 -- -- --
IC73 16.221024999999997 4.767424999999999 -- 0.41 0.238
IC74 16.483189742539995 4.09025478792 -- 0.36 0.295
IC75 16.79843271886 10.83695184662 -- 0.453 0.363
IC76 17.04887916666667 -4.554580555555555 -- 0.603 0.265
IC77 17.212945900740003 -15.406342392790002 -- 0.803 0.546
IC78 17.19867924957 -15.84519209026 -- 0.857 0.497
IC79 17.207107372979998 -15.948717375400001 -- 0.587 0.563
IC80 17.21859146205 -15.42193480013 -- 0.367 0.183
IC81 17.342762034090004 -1.69589503204 -- 0.61 0.549
IC82 17.27414080232 -16.00028443185 -- 0.573 0.482
IC83 17.624070707909997 1.6893642455200002 -- 0.523 0.304
IC84 17.85677458616 1.64016015781 -- 0.483 0.28
IC87 18.565793 0.765332 -- 0.417 0.333
IC88 18.630454939779998 0.7917587890899999 18.06999969482422 0.317 0.298
IC89 19.015124681050004 4.29415754942 -- 0.64 0.461
IC90 19.1264086902 -7.977037170689999 -- 0.673 0.606
IC91 19.66434345465 2.55370721041 -- 0.417 0.192
IC92 19.951664814890005 32.767905424160006 -- 0.533 0.363
IC93 19.7597625 -17.060413888888892 13.569999694824219 0.747 0.343
IC94 20.02262475 32.71738708333333 -- -- --
IC96 20.138386 29.616969 -- 0.903 0.217
IC98 20.22864115339 -12.604636346040001 -- 0.443 0.417
IC99 20.61403383964 -12.95258359439 -- 0.403 0.339
IC100 20.724834794789995 -4.64300237038 -- 0.613 0.54
IC101 21.035604166666662 9.930555555555555 -- 0.57 0.342
IC102 21.10975361235 9.88659969763 -- 0.47 0.254
IC103 21.151875590260005 2.0442667648399997 -- 0.53 0.413
IC104 21.1399975 -1.4567180555555557 -- -- --
IC105 21.192726989230003 2.07528914988 -- 0.383 0.215
IC106 21.17359486208 -1.5871051220899999 -- 1.39 0.361
IC107 21.305238 14.872478 -- 0.367 0.315
IC108 21.162348877659998 -12.63554679289 -- 0.717 0.229
IC109 21.304307455339995 2.06691610973 -- 0.51 0.418
IC110 21.444171249999997 33.51470555555555 -- -- --
IC112 21.51250407062 11.442966259810001 -- 0.593 0.38
IC113 21.606223761609996 19.192024985700005 -- 0.347 0.257
IC114 21.59418015232 9.9099308484 -- 0.913 0.311
IC115 21.7267917343 19.214497492050004 -- 0.547 0.492
IC116 21.710663738320005 -4.982403221400001 -- 0.523 0.293
IC118 21.90010813604 -4.9974025256 -- 0.433 0.381
IC119 21.97917589337 -2.0404481401199996 -- 0.813 0.374
IC120 22.05399233579 -1.9155145892799992 -- 0.65 0.234
IC121 22.090698605830003 2.5130010815699997 -- 0.7 0.476
IC122 22.055016862580004 -14.838880418700004 -- 0.4 0.2
IC123 22.21445541909 2.44643657481 15.210000038146973 0.46 0.304
IC124 22.287972 -1.937022 -- -- --
IC125 22.3264071918 -13.27976988667 -- 0.393 0.346
IC126 22.449441518790003 -1.9837363338 -- 0.49 0.402
IC127 22.44832916666667 -6.980058333333333 9.199999809265137 1.33 0.293
IC128 22.849525 -12.624380555555554 -- 0.367 0.249
IC129 22.88019302205 -12.65424299101 -- 0.547 0.405
IC130 22.86957623909 -15.5915684663 -- 0.457 0.411
IC131 23.3125 30.7525 -- -- --
IC132 23.31583333333333 30.945833333333333 14.819999694824219 0.6666667 0.55
IC133 23.31625 30.883888888888887 12.199999809265137 -- --
IC134 23.354175833333333 30.90066694444444 -- -- --
