#Name Ra Dec Flux[V] maj_ax min_ax
M1 83.6325 22.0175 -- 7.0 5.0
M2 323.36258333333336 0.82325 6.25 12.9 12.9
M3 205.54841666666664 28.377277777777778 6.39 16.2 16.2
M4 245.89675000000003 -26.52575 -- 26.3 26.3
M5 229.63841666666667 2.081027777777778 5.95 17.4 17.4
M6 265.06916666666666 -32.24194444444444 -- 20.0 20.0
M7 268.44708333333335 -34.84111111111111 -- 100.1 100.1
M8 270.90416666666664 -24.386666666666667 -- 90 40
M9 259.79908333333333 -18.51625 8.42 8.7 8.7
M10 254.2877083333333 -4.100305555555555 4.98 15.1 15.1
M11 282.7658333333334 -6.271944444444444 5.8 8.9 8.9
M12 251.80908333333338 -1.9485277777777779 6.07 14.5 14.5
M13 250.42347500000002 36.46131944444445 5.8 33.0 33.0
M14 264.400625 -3.2459166666666666 5.73 13.5 13.5
M15 322.49304166666667 12.167 -- 12.3 12.3
M16 274.68791666666664 -13.791944444444445 -- 80.0 80.0
M17 275.1958333333333 -16.171666666666667 -- 1.63 1.63
M18 274.9875 -17.088333333333335 -- 5.0 5.0
M19 255.65704166666671 -26.267944444444442 5.57 9.6 9.6
M20 270.675 -22.971666666666668 -- 28.0 28.0
M21 271.0358333333333 -22.505 -- 110.0 110.0
M22 279.09975000000003 -23.90475 -- 24.0 24.0
M23 269.2370833333333 -18.986944444444447 -- 35.0 35.0
M24 274.20000000000005 -18.55 -- 120.0 60.0
M25 277.9370833333333 -19.11388888888889 -- 31.3 31.3
M26 281.31708333333336 -9.386111111111111 8.87 7.1 7.1
M27 299.9015129166667 22.721197777777775 14.089 6.7 6.7
M28 276.1370416666666 -24.869833333333332 -- 11.2 11.2
M29 305.94166666666666 38.486666666666665 6.6 12.7 12.7
M30 325.0921666666667 -23.179861111111112 7.1 11.0 11.0
M31 10.684708333333331 41.26875 3.44 199.53 70.79
M32 10.67427 40.86517 8.08 8.7 6.5
M33 23.46206875 30.660175 5.72 60.26 35.48
M34 40.53083333333334 42.721944444444446 -- 48.4 48.4
M35 92.27208333333334 24.33611111111111 -- 38.3 38.3
M36 84.08416666666666 34.135 6.0 120.0 120.0
M37 88.07416666666668 32.544999999999995 -- 19.3 19.3
M38 82.16708333333332 35.823888888888895 6.4 19.6 19.6
M39 322.88916666666665 48.246944444444445 -- 120.4 120.4
M40 185.54999999999998 58.083333333333336 -- -- --
M41 101.49916666666667 -20.71611111111111 4.5 39.8 39.8
M42 83.82000000000001 -5.3875 -- 66.0 66.0
M43 83.87916666666666 -5.27 -- 20 15
M44 130.05416666666665 19.621111111111112 -- 118.2 118.2
M45 56.600833333333334 24.11388888888889 -- 76.86 76.86
M46 115.44500000000001 -14.84388888888889 -- 25.3 25.3
M47 114.14708333333333 -14.488888888888889 -- 31.1 31.1
M48 123.41208333333333 -5.726111111111111 -- 44.3 44.3
M49 187.445 8.000277777777777 12.17 10.96 8.91
M50 105.68416666666666 -8.365 -- 31.6 31.6
M51 202.469575 47.19525833333333 8.36 10.0 7.59
M52 351.195 61.59 -- 16.0 16.0
M53 198.23020833333334 18.168166666666668 7.79 12.6 12.6
M54 283.763875 -30.47986111111111 -- 9.1 9.1
M55 294.99879166666665 -30.96475 6.49 19.0 19.0
M56 289.1482083333333 30.18347222222222 -- 7.1 7.1
M57 283.39623624999996 33.029134166666665 15.769 1.153 1.153
M58 189.43125 11.818333333333333 9.66 5.62 4.37
M59 190.50940875 11.646919166666667 -- 5.5 3.98
M60 190.91653333333335 11.552693333333334 -- 7.94 6.61
M61 185.47886749999998 4.473776944444444 9.65 6.17 5.5
M62 255.30249999999998 -30.112361111111113 -- 14.1 14.1
M63 198.95530875 42.02936888888889 8.59 13.18 7.94
M64 194.18206666666666 21.682658333333336 8.52 9.77 4.9
M65 169.73295166666668 13.092305555555557 -- 8.32 2.14
M66 170.0625 12.991388888888888 8.92 8.51 3.8
M67 132.84583333333333 11.81388888888889 -- 25.0 25.0
M68 189.86658333333332 -26.744055555555555 7.96 12.0 12.0
M69 277.84625 -32.348083333333335 -- 7.1 7.1
M70 280.80316666666664 -32.29211111111111 -- 7.8 7.8
M71 298.44370833333335 18.779194444444443 -- 7.2 7.2
M72 313.36541666666665 -12.537305555555555 8.96 5.9 5.9
M73 314.75 -12.633333333333333 -- -- --
M74 24.173937916666667 15.783640833333333 9.46 9.33 8.71
M75 301.52017083333334 -21.922261111111112 8.26 2.383 2.145
M76 25.58189875 51.57542611111111 17.48 2.307 2.307
M77 40.66962125 0.013294166666666668 8.87 6.92 6.03
M78 86.69083333333333 0.07916666666666666 -- 8 6
M79 81.04412500000001 -24.52425 8.16 8.7 8.7
M80 244.2600416666667 -22.97608333333333 -- 8.9 8.9
M81 148.88821916666666 69.06529499999999 6.94 21.38 10.23
M82 148.96845833333333 69.67970277777778 8.41 11.2 4.3
M83 204.25383000000002 -29.865761111111112 7.52 13.8 12.88
M84 186.26559708333332 12.886983055555556 10.49 6.46 5.75
M85 186.35022083333334 18.191080555555555 -- 7.76 6.03
M86 186.549225 12.945969444444446 8.9 10.47 7.59
M87 187.70593041666666 12.391123055555555 8.63 9.12 7.94
M88 187.99646875000002 14.420318888888888 13.18 7.76 4.57
M89 188.91586375 12.556341666666667 9.75 6.92 6.46
M90 189.20750375 13.162923055555556 9.54 9.77 4.37
M91 188.86018583333333 14.496322222222222 13.57 5.37 4.47
M92 259.2807916666667 43.13594444444444 6.52 11.2 11.2
M93 116.14083333333333 -23.853055555555557 -- 24.2 24.2
M94 192.72114041666669 41.12025 8.24 11.48 10.0
M95 160.99054708333333 11.703694722222222 9.73 7.08 4.27
M96 161.69060000000002 11.819938888888888 9.25 7.24 4.79
M97 168.69880083333334 55.01902277777778 15.777 3.333 3.333
M98 183.4512125 14.9005425 10.14 9.55 2.29
M99 184.70677083333334 14.416488888888889 9.87 5.13 4.47
M100 185.72887458333332 15.822304444444445 9.35 7.59 6.76
M101 210.80242916666668 54.34875 7.86 21.88 20.89
M102 226.62317083333332 55.763308333333335 9.89 6.31 2.69
M103 23.339166666666667 60.65888888888889 7.4 7.4 7.4
M104 189.9976325 -11.623054444444445 8.0 8.51 5.01
M105 161.95666666666665 12.581630555555556 9.76 5.13 4.68
M106 184.74008333333333 47.30371944444444 8.41 17.78 6.92
M107 248.13275000000002 -13.053777777777778 -- 10.0 10.0
M108 167.87902916666667 55.67412222222222 -- 7.76 2.69
