#Name Ra Dec Flux[V] maj_ax min_ax
NGC1 1.8160675000000002 27.70806111111111 -- 0.76 0.578
NGC2 1.821315 27.67834277777778 -- 0.673 0.35
NGC3 1.81999125 8.30166 -- 0.687 0.439
NGC4 1.8516666666666666 8.375 -- 0.52 0.24
NGC5 1.9536079166666667 35.36226194444445 -- 0.563 0.417
NGC7 2.0873333333333335 -29.915 -- 2.57 0.54
NGC8 2.18875 23.83861111111111 -- 0.31 0.19
NGC9 2.227844166666667 23.81689527777778 -- 0.543 0.272
NGC10 2.1439120833333334 -33.85838805555556 -- 1.373 0.879
NGC11 2.1770583333333335 37.44788611111111 -- 1.283 0.282
NGC12 2.1864216666666665 4.612574166666667 -- 0.917 0.697
NGC13 2.1988125000000003 33.43332611111111 -- 1.45 0.406
NGC14 2.1926316666666668 15.816956944444444 -- 0.87 0.487
NGC15 2.2603287499999998 21.62457361111111 -- 0.757 0.469
NGC16 2.2678162499999996 27.729409166666667 12.06 1.29 0.722
NGC17 2.7775499999999997 -12.107869444444445 13.52 1.23 0.44
NGC19 2.6703141666666665 32.98296055555556 -- 0.7 0.42
NGC20 2.3861774999999996 33.30874138888888 -- 0.933 0.859
NGC22 2.4508441666666667 27.8322575 -- 0.7 0.42
NGC23 2.472545833333333 25.92373888888889 -- 1.25 0.65
NGC24 2.4855916666666666 -24.963130555555555 11.58 5.75 1.58
NGC25 2.4970416666666666 -57.020805555555555 15.5 0.807 0.597
NGC26 2.6078341666666667 25.831918333333334 -- 0.71 0.525
NGC27 2.6364866666666664 28.996234444444447 -- 0.83 0.349
NGC28 2.6051066666666665 -56.989064722222224 -- 0.473 0.454
NGC29 2.6954624999999997 33.35283444444445 -- 0.86 0.43
NGC31 2.660017083333333 -56.986445 -- 0.587 0.352
NGC34 2.7775499999999997 -12.107869444444445 13.52 1.23 0.44
NGC35 2.7937179166666666 -12.020753611111111 -- 0.33 0.271
NGC36 2.84291 6.389339722222223 -- 1.04 0.728
NGC37 2.8455966666666663 -56.95731638888889 -- 0.73 0.482
NGC38 2.9457883333333332 -5.5863330555555555 -- 0.84 0.79
NGC39 3.07860125 31.06108888888889 -- 0.7 0.644
NGC40 3.2542375 72.52195361111112 11.46 0.1 0.7667017
NGC41 3.1998433333333334 22.02348222222222 -- 0.727 0.378
NGC42 3.2347595833333336 22.100282777777778 -- 0.787 0.362
NGC43 3.25321875 30.915240277777777 -- 0.99 0.851
NGC44 3.275 31.3 -- -- --
NGC45 3.516696666666667 -23.181981111111114 10.73 7.24 4.79
NGC46 3.5411675000000002 5.987730555555555 11.68 -- --
NGC47 3.6276091666666668 -7.167446388888889 -- 0.84 0.739
NGC48 3.5092291666666666 48.234880555555556 -- 0.87 0.435
NGC49 3.5934191666666666 48.246500833333336 -- 0.637 0.433
NGC50 3.6857220833333333 -7.345119444444444 -- 1.427 0.999
NGC51 3.6454608333333334 48.255517777777776 -- 0.87 0.679
NGC52 3.6670875 18.58198611111111 -- 1.53 0.367
NGC53 3.6785933333333336 -60.328384444444445 -- 1.01 0.646
NGC54 3.7818908333333336 -7.106711944444444 -- 0.967 0.348
NGC55 3.7233416666666668 -39.19662777777778 7.87 32.36 3.98
NGC56 3.8499999999999996 12.45 -- -- --
NGC57 3.8786375 17.328394444444445 -- 1.393 1.115
NGC58 3.6276091666666668 -7.167446388888889 -- 0.84 0.739
NGC59 3.8546916666666666 -21.444355555555557 12.59 1.02 0.571
NGC60 3.9926875 0.3035247222222222 14.86 0.393 0.291
NGC61 4.101249999999999 -6.318888888888889 -- -- --
NGC62 4.2726275000000005 -13.487096666666666 -- 0.603 0.459
NGC63 4.439784166666667 11.450288055555555 -- 1.18 0.684
NGC64 4.376586666666666 -6.824610833333333 -- 0.817 0.457
NGC65 4.74456 -22.880402222222223 -- 0.503 0.423
NGC66 4.7705866666666665 -22.936340277777777 -- 0.88 0.44
NGC67 4.561798333333333 30.06307138888889 -- 0.207 0.186
NGC68 4.576955833333333 30.07166388888889 -- 0.723 0.694
NGC69 4.5854 30.03995527777778 -- 0.333 0.253
NGC70 4.594030833333333 30.079541111111112 -- 0.997 0.738
